file,fbid,image_url,fb_url,email,email_stage,all_emails_in_image,raw_text,owner_id,group_id,dept_num,image_width,image_height,accessibility_caption,collected_at
5015876741972056.jpg,5015876741972056,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/736689197_5015876745305389_1513251969338577901_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=sCXT1ZdAEu0Q7kNvwHsrwEZ&_nc_oc=Adox3CLEINuetnV5jkzQ6V49AyqGCY7pL8H9i-Wv7XfaKM_0s25zQgcw87u_Q3nkGvM&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=Objicr_jbl2hIL0Thoevxg&_nc_ss=7920f&oh=00_AQAD-DcpFY1kszVwEDS2edVqhIPMtUso8Fb-VeKlc9ZPxQ&oe=6A5B1647,https://www.facebook.com/photo/?fbid=5015876741972056,bugads.farida@gmail.com,1,bugads.farida@gmail.com,"PROFIL :  Forte d'une grande capacité relationnelle et maîtrisant plusieurs langues, je peux être un atout dans votre équipe. Ma rigueur et ma polyvalence me permettront de m'intégrer aisément dans ma future équipe. Je donne toujours le meilleur de moi-même. Je recherche à mettre en pratique mes compétences acquises ces dernières années au sein de votre entreprise.  FORMATION  COURS DE LUXEMBOURGEOIS INTENSIF À VISÉE PROFESSIONNELLE AL, A2, 61 (09/2024 - 02/ 2026) INSTITUT NATIONAL DES LANGUES",pfbid02xN2oL5D4HBYfivM5iz8fEUSkBaouUUrv2ZxM9ZiSPiAYHSqb3Dk1uKuLjLtkNMT1l,offresdemploiluxembourg,,1052,1477,May be an illustration of text,2026-07-13T19:15:04.229749
4160380927596120.jpg,4160380927596120,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/735257516_4160380930929453_2792392230603430642_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=HBj3HMNR1nsQ7kNvwFR9n_F&_nc_oc=AdoQGZe2Na-UGTYhMee54BKrKcDZFDmgud-Gpu6OiLBTnZXyFqZP6bGwvZ16_5SsMm4&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=hhtFYOwUSTFj-9Ownqgddw&_nc_ss=7920f&oh=00_AQA6IjGv0KMGkXnQO_ZWYgDkW_u7Kx5keNO2o7zPWvmDaQ&oe=6A5AF266,https://www.facebook.com/photo/?fbid=4160380927596120,bubblescoiffure@icloud.com,1,bubblescoiffure@icloud.com,"NOUS RECRUTONS  — COIFFEUR / COIFFEUSE —  Q SALON SITUÉ EN PLEIN CENTRE-VILLE DE LUXEMBOURG  ®) +352 26 84 59 70 D bubblescoiffure@icloud.com Rejoignez une équipe passionnée,  dynamique et engagée dans l'excellence.  +",100008727604390,offresdemploiluxembourg,,943,2048,"May be a graphic of text that says 'REJOIGNEZ REJO REJOIGNEZNOTREEQUIPE! NOTRE ÉQUIPE! NOUS RECRUTONS COIFFEUR COIFFEUSE SALON SITUÉ EN PLEIN CENTRE-VILL NTRE-VILLEDELUXEMBOURG VILLE DE LUXEMBOURG +35226845970 70 +352 bublescoiffure@icloud.com Rejoigne passionnée, dynamiqueetengagie.dans AynaTиe l'excellence'",2026-07-13T19:15:18.068623
122123846846858030.jpg,122123846846858030,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/732504832_122123846852858030_5832380930290246961_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=bGs2W6c6TvAQ7kNvwGMd1iF&_nc_oc=AdruYd4SIIqBkH5MW0vpcQ7DcO972hEiPm9pDMGv9Xp1WgHWYkuSjc5KXF_8kHufV68&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=hhtFYOwUSTFj-9Ownqgddw&_nc_ss=7920f&oh=00_AQBgLbEG9D94XbNBkdkUB0_1MPoirRO2ewqaJeYel0PsZg&oe=6A5B2341,https://www.facebook.com/photo/?fbid=122123846846858030,omarzeddini87@gmail.com,1,omarzeddini87@gmail.com,Omar Zeddini  Chauffeur livreur  Ukkel 1180 omarzeddini87@gmail.com +32 470 95 59 59  Disposé(e) à déménager n'importe où  Expérience  Chauffeur livreur DHL Express Belgié-Diegem juin 2023 - aujourd'hui  Chauffeur livraison  Delhaize-Drogenbos  mars 2023 - aujourd'hui  Bonjour  Je travaille chauffeur livreur avec une camionnette 4 je livre les commandes au client dans différents régions on Belgique  Chauffeur livreur Fidurial-Rruxelios  Chauffeur Uber Flatja multisolutio-Forest avait 2019  décen,pfbid02MQSGk7AEL5MaCpLvAN41BWBCq9P1WWB9y9GSiAVs1TKYYSSzCqSpRgzafaBUVTVSl,offresdemploiluxembourg,,1080,1264,May be an image of ticket stub and text that says 'OmarZeddini Omar Zeddini Chauffeur livreur omarzeddin187@gmail.com +32 247095 70955959 5595 Disposé(e) déménager n'importe où Expérience Chauffeur livreur DHL Express Belgie-Diegem juin 2023 -aujourd'hui Chauffeur livraison Delhaize-Drogenbos 2023 aujourd'hui Bonjour travaille chauffeur livreur avec une amionnette régions Delgique Chauffeur livreur Fidurial-Bruxelles livre les commandes au client dans différents Chauffeur Uber Flatja 2019 -decembre 2022 Banjour chauffer professionnel de transport rpτиόrο des personnes c 'application Formation Économie (Bachelier) Csfmg Crombelia-Uccle/Ukkel Compétences •Conduite de véhicule Chargement dechargement Expérience Goction Gestion temps livreur Conduité d'un vehicule commercial',2026-07-13T19:15:22.001642
27613592061661744.jpg,27613592061661744,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/729220656_27613592068328410_2630887427060506703_n.jpg?stp=cp6_dst-jpg_s1080x2048_tt6&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=LDTcTuBeHpoQ7kNvwGqsgkO&_nc_oc=AdoLSZWvP_CXtqDxc8Gplpugi0SEr4KMx67DSJmS_7gK6zDucHrtvcAXGv1T5CqWz-8&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=guNi6h-Df6GeAfrmq8HM_w&_nc_ss=7920f&oh=00_AQAn1Y1BJrAEnXJ4lolD2gaZZqLCDIvbrWAaZxz5fTC9UQ&oe=6A5B0A9D,https://www.facebook.com/photo/?fbid=27613592061661744,2@gmail.com,1,2@gmail.com,"+337 68 13 68 06  EL KARTAOUI AYOUB ayoub.elkartaoui. 2@gmail.com  APPRENTI INGÉNIEUR - MASTER EEA Ingénierie Systèmes Humaln-Machine Metz  APROPOS Apprenti ingénieur dynamique et motivé, actuellement en Master EEA - (SHM et titulaire  d'un BTS Systèmes Numériques. Fort d'une expérience en environnement industriel chez ArcelorMittal, je développe des compétences en systèmes techniques et gestion de projets. Je suis à la recherche d'une opportunité à partir de septembre 2026.  COMPÉTENCES © Maîtr",100003129631192,offresdemploiluxembourg,,1170,1639,"May be an image of text that says 'PROPOS KARTAOUI AYOUB APPRENTI INGÉNIEUR MASTER Apprenti ingénieur dynamique Systèmes ArcelorMittal,j développe Master COMPÉTENCES partir septembre projets. KiCad tLabVIEW lectronique Analyzer systèmes rigueur, EXPÉRIENCES Apprenti PROFESSIONNELLES 2024-2026 d'analyse, autonomie Anglais Allemand Florange Arabe (courant) support technique, jour continue supervision etIHM éléments Livreur OSPC répondre aux besoins Woippy fiabilité des systèmes industriels tournées vraison dansle respect 'autonomie, Chargé clientéle 2022/2024 etde temp Freyming-Merlebach conseil clients etdes 2021/2022 Association Médiation gestion Behren-lès-Forbach situations tension Volontaire conflit diplomatie gestion tress interventions FORMATIONS sens sécurité esponsabilités, réactivité Master Electricité 2026 Sciences pour l'Ingénieur- -Electronique Electricité Automatisme -Electronique r'Industrie Systèmes BAC Sciences Developpement Durable'",2026-07-13T19:15:26.459281
36283234994658409.jpg,36283234994658409,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/724752723_36283235041325071_7605877971569540153_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=xVYaNbZxxacQ7kNvwEPc8zw&_nc_oc=Adr1fLN5tQ6YxNMKUVMZq0i4PDJTI56ajIXTudUgS1_tcNlx0C6v47bscoB8ASjw8IQ&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=RX2UEzEizhgwVI_5Tbd8KA&_nc_ss=7920f&oh=00_AQCTxdgHSCgQWjKClQkFbcRW7BCtxLCgViQwJrxj40yAfA&oe=6A5B0A78,https://www.facebook.com/photo/?fbid=36283234994658409,safouan.romdhani@gmail.com,1,safouan.romdhani@gmail.com,"Safouan Romdhani  Boisbriand, Québec | 514-476-4165 | safouan.romdhani@gmail.com  SUMMARY  Électromécanicien et technicien en maintenance industrielle possédant plus de 9 ans d'expérience dans les environnements manufacturiers et de production. Expertise en maintenance préventive, corrective et prédictive, diagnostic de pannes étectramécaniques, optimisation de la performance des équipements et amélioration continue. Experience canadienne en production industrielle et conduite de chariots élévat",100001960992938,offresdemploiluxembourg,,602,782,May be an image of text,2026-07-13T19:15:42.962816
2390104041493524.jpg,2390104041493524,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/724118973_2390104484826813_4027350884852591026_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=hF3vTze8CIwQ7kNvwGl1WP7&_nc_oc=AdojnHJXG_T-4S100cEh6MQitjlDnYf3Sb-4BLceAErAUXA3JjDiihy2ERfBlYVjoCo&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=59mM1HgaNO4NddqgldLM2A&_nc_ss=7920f&oh=00_AQALR_0gYnNmSpYshxCa6L51BMh4-hWRX4jeA64tJeGUTw&oe=6A5AF22E,https://www.facebook.com/photo/?fbid=2390104041493524,eininio363@gmail.com,1,eininio363@gmail.com,Antoine Joseph jean Claude  CAP installateur sanitaire  eininio363@gmail.com +33 7 45 51 14 62  Disposé{e) à déménager n'importe ati  Expérience  Agent de production Guilin embalage-Besançon (25) janvier 2025 - mai 2026  Gestion de la ligne de production :Assurer la conduite des machines de conditionnement ou de transformation tout en respectant les cadences imposées pour maintenir la productivité.  Respect des normes d'hygiène et de sécurité : Appliquer rigoureusement les protocoles HACCP et le,100014818532876,offresdemploiluxembourg,,1125,1408,May be an image of text,2026-07-13T19:15:54.393535
10215884296937684.jpg,10215884296937684,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/722934910_10215884296977685_5542551175448055534_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=7Jacj0I62UwQ7kNvwG9GDzD&_nc_oc=AdpJ_36k5RO4Mepxa9VUoKkWMsv2bymVDVz7V0q1AyJhKET9lzYS7MNMzEQAmIXEvyw&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=59mM1HgaNO4NddqgldLM2A&_nc_ss=7920f&oh=00_AQCf_4rtvD1DSEOZrOlCnc3hxRHbBHrmNwGxRqVhrw8N_w&oe=6A5B2643,https://www.facebook.com/photo/?fbid=10215884296937684,dioraisallerta@gmail.com,1,dioraisallerta@gmail.com,AU SERVICE / de vos facades ! _— “  [5 L’EXPERTISE Cd  B.I FACADES  Y FAÇADES D À Le  a ‘Ry  V PEINTURE  INTÉRIEURE ET EXTÉRIEURE 7  & Y RENOVATION  af + PLÂTRERIE - ENDUIT  CT Y POSE DE PLAQUES 4 DE PLATRE (PLACOPLATRE)  il Y POSE DE PARQUET STRATIFIE  FA V REVÊTEMENT DE SOL  ZINGUERIE EN E & REVETEMENT & ONDULE DE SOL  v ISOLATION INTERIEURE  PLATRERIE - ENDUIT  ® | TÉLÉPHONE MATÉRIAUX DE QUALITÉ  06 14 04 55 69 RÉSULTAT DURABLE © E-MAIL INTERVENTION RAPIDE un . ET EFFICACE dioraisallerta@gmai,1753877852,offresdemploiluxembourg,,1053,1494,May be an image of lighting and text that says 'L'EXPERTISE AU SERVICE de vos façades! B.I FAÇADES FAÇADES PEINTURE INTÉRIEURE ET EXTÉRIEURE ਅਾੱਲੇ RÉNOVATION PLATRERIE- ENDUIT POSE DE PLAQUES DE PLÂTRE (PLACOPLATRE) POSE DE PARQUET STRATIFIÉ REVETEMENT DE SOL 8 ISOLATION INTÉRIEURE PLÄTRERIE ENDUIT ZINGUERIE & ONDULÉ CARRELAGE RAGRÉAGE & &REVETEMENT DE SOL TÉLÉPHONE 06 14 04 55 69 CONTACTEZ-NOUS DES AUJOURD'HUI! X MATÉRIAUX DE QUALITÉ DURABLE E-MAIL dioraisallerta@gmail.com INTERVENTION RAPIDE EFFICACE ADRESSE 11Bcle des Prés de St-Pierre 57100 Thionville France SATISFACTION GARANTIE DEVIS GRATUIT ET SANS ENGAGEMENT Qualité INTERVENTION DANS TOUTE RÉGION THIONVILLE THIONVILLE&METZ & METZ ET ALENTOURS Fiabilité Savoir-faire',2026-07-13T19:16:00.075817
1544211014014946.jpg,1544211014014946,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/719650948_1544211017348279_1072484311643642009_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=8r9NilVe2qsQ7kNvwFPOTHN&_nc_oc=Adq_cjDjnt8YoG0ceOAmE8KDKZpZai7v9Y3MExk2ko4qpYIyvY11EcKbstN5hKyYaIM&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=59mM1HgaNO4NddqgldLM2A&_nc_ss=7920f&oh=00_AQB1v950_FaJCdqXpvESZNrYXDjaVmZZLA6NMcD6eflRbw&oe=6A5AF3EB,https://www.facebook.com/photo/?fbid=1544211014014946,menneson.amandine@outlook.fr,1,menneson.amandine@outlook.fr,"2026 :  2018 : 2015 :  2009 : 2006 :  10 rue Victor Hugo 54310 Homecourt  menneson.amandine@outlook.fr 06 76 82 58 66 42 ans  Permis B  Formation BPJEPS Animation sociale (en cours)  Base BAFD UFCV Bouvines BTS Tourisme AFPA Lomme BAFA à lUfcv de Lille  Licence Communication Evénementielle à la faculté de Lille 3  Animation, activités adaptées et personnalisées  Écoute active et bienveillance Organisation, créativité et adaptabilité  Gestion de projets et partenariats  Travail en équipe  et coor",100052781863586,offresdemploiluxembourg,,1024,1536,May be an image of text,2026-07-13T19:16:02.729954
27675627718698613.jpg,27675627718698613,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/719173072_27675628538698531_5562912687549909617_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=KC4DtAvUneAQ7kNvwEnY6_A&_nc_oc=Adpvgz1cUzyTgt5WsQ2nXR2-7cBksXdxTpaCuWxdGZnrhP31fnh3if9Bvxg1owCrO3k&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=5phpONjgoVBkv6Iquj5inA&_nc_ss=7920f&oh=00_AQCWXGLmhBIvIl_sONX-hLF7MNbPKmU2RrGbZY465t5WDA&oe=6A5B1A52,https://www.facebook.com/photo/?fbid=27675627718698613,simoninter@live.it,1,simoninter@live.it,"Je propose un  SPÉCIFIQUE  Praticien en massage bien-être  Massage us relaxant *  Massage posturaux  rc ee  simoninter@live.it  Soins tonifiants  Détente, Bien-être  et tube",100000342717522,offresdemploiluxembourg,,1535,1024,"May be an image of text that says 'Je propose un massage SPÉCIFIQUE Praticien en massage bien-être Massage relaxant Massage posturaux Soins tonifiants simoninter@live.it @live.it 352661234577 Détente, Détente,Bien-être Bien-être etEquilibre et'",2026-07-13T19:16:14.688875
1675138787134735.jpg,1675138787134735,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/705350391_1675138790468068_5497333164745757868_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=ItTyclyXqrsQ7kNvwEjZgDw&_nc_oc=AdoJN8aZMAla3HMHzGNrfcXU03uGrgoevysZ3grY6XeMM67hMdhr3fXU9bjl2FYkoYw&_nc_zt=23&_nc_ht=scontent-ber1-1.xx&_nc_gid=4HM-cUDux8QH0j4BD1fF3w&_nc_ss=7920f&oh=00_AQDH9RMHXMHUvDclL3RiHRefF4DH4B0MwrjJd8kKLzSrkw&oe=6A5B1014,https://www.facebook.com/photo/?fbid=1675138787134735,abdelwahabjbaliso@gmail.com,1,abdelwahabjbaliso@gmail.com,"ABDELWAHAB  TOURNEUR FRAISEUR INDUSTRIELS  PROFIL  Je suis tourneur fraiseur conventionnel , 30 ans d'expériences, bricoleur, moule d'injection plastique, des outils du coupes.  réifications planes , etc...  COMPÉTENCES CLÉS  technicien tour conventionnel technicien fraiseuse conventionnel Rectification plane cyli que montage et démontage des pièces des machines  fabrications des pièces suivant modéls suivant plan  CONTACTEZ-MOI : E-mail : abdelwahabjbaliso@gmail.com :+216.29.521.089 niba Jedaid",pfbid02uwNNH37LYN4BENMW9b9UGtJdwUwUUQs4YUZ4Ur3JLnBwz6xWJ6PP1Hy7wwZMDUU3l,offresdemploiluxembourg,,1448,2047,May be an image of text,2026-07-13T19:17:17.370589
