file,fbid,image_url,fb_url,email,email_stage,all_emails_in_image,raw_text,owner_id,group_id,dept_num,image_width,image_height,accessibility_caption,collected_at
10245338748148917.jpg,10245338748148917,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/743386816_10245338748228919_3179237555490437809_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=n3I_UejYT7MQ7kNvwFUbm6T&_nc_oc=AdrNCRU6Sp0ygIUTTjk15Dla6tNTKnhTl3GvWSddFMJabsrRDezZZGVBkgOpl9Nx_J8&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=qXa-yFQXTOQ8zu2aFSzGpw&_nc_ss=7920f&oh=00_AQC0GlTeNqt9OAAgfp8SAItITFH5K16v9P_lSTnmMQEd3w&oe=6A5C43BD,https://www.facebook.com/photo/?fbid=10245338748148917,patisseriesignature@outlook.fr,1,patisseriesignature@outlook.fr,"DEM  Notre patisserie-boulangerie recherche une personne en VENTE pour rejoindre notre équipe !  LIEU S Martin Bellevue  PROFIL Une premiére expérience :  en vente est souhaitée.  CONTRAT CDI35h Pas de coupures  POUR INFO Vv, ENVOYEZ VOTRE CV À  patisseriesignature@outlook.fr  APPELEZ-NOUS AU @ 0763331430  22D>— > ou puseg nous voir en boulique | = —E RKO",pfbid0eo6vfe53ruJQ5VyDkxJjRD8opnmhA8oBrVidm8rScj7cwKek6twtb2jgtnqsfyz6l,offresemploihautesavoie,,1024,1536,"Kan een afbeelding zijn van stokbrood en de tekst ''Offre REJOIGNEZ Patisserie D'EMPLOI NOTRE SIGNATURE ÉQUIPE! BOULANGERIE PATISSERIE Notre pâtisserie- pâtisserie-boulangerie boulangerie recherche une personne en VENTE pour rejoindre notre équipe LIEU S Martin Bellevue Le goit du fait maison, caAиe chaquejour. wr. PROFIL Une première expérience en vente est souhaitée. CONTRAT CDI 35 h Pas de coupures lande citron mersrane Une équipe passionnée et le gout du fait maison APPELEZ-NOUS AU 0763331430 POUR INFO ENVOYEZ VOTRE ENVOYEZVOTRECVÀ CV À patiseriesignature@outlook.fr o passez nous voir en boutique 一八八八〇'",2026-07-14T17:12:53.503001
4524558427862077.jpg,4524558427862077,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/735304797_4524557234528863_492251756810554752_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=dCam0e6xNhEQ7kNvwFWnSjK&_nc_oc=AdrWXwyebegxsY45NiFKRyt1asH51RGJd7fMNtfv1FRmwkQZPw2vGeohdUbVwHiTkRs&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=PLmc5b48QEGepnxTFHcbKg&_nc_ss=7920f&oh=00_AQB0TqWHQYhEl36sv62U__o4EIkjRrfFb6NxSY5jTf9wow&oe=6A5C496A,https://www.facebook.com/photo/?fbid=4524558427862077,glowlinstant@gmail.com,1,glowlinstant@gmail.com,"_ GF _CAINISTANT GLOW.  INSTITUT DE BEAUTE & SALON UV  RECRUTEMENT  PROTHESISTE ONGULAIRE-& ESTHETICIENNE THF  @ PREVESSIN-MOENS (01) Ala pronlicre suisse,  a seulement quelques minutes de Genéve.  rc  PROFIL RECHERCHE eS PROFIL RECHERCHE  PROTHESISTE ONGULAIRE À À ESTHÉTICIENNE  v Maitrise des épilations, soins du visage,  Minimum 2 ans d'expérience extensions de cils, rehaussement de cils...  Maîtrise du gel, du semi-permanent,  du gainage et du nail art _ Sérieuse, douce et à l'écoute  V_ Sen",100009238927324,offresemploihautesavoie,,1024,1536,Kan een graphic zijn van tekst,2026-07-14T17:13:35.801540
2492255004573310.jpg,2492255004573310,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/731068001_2492255007906643_7583229174661866746_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=qtkurRgU3cYQ7kNvwGfzd75&_nc_oc=Ado5P_etPMAkg3OsFBGsL70WCW1CbI8D66E5o4GKf9QIl0ack11R_teM8vv-qFNelEc&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=Lylpkipv8ujIMMlJqVmz7A&_nc_ss=7920f&oh=00_AQACGoja3vBdoFhYHDy2I_syNSOrGcmh2jU8hzAWroIDMw&oe=6A5C41F0,https://www.facebook.com/photo/?fbid=2492255004573310,clerc.camille@orange.fr,1,clerc.camille@orange.fr,"fIN ACR MEDIA ACR MEDIA RECRUTE  FIBRE OPTIQUE by Orange I à  N  9 Secteur Terrain | si I Croissance Rapide  PROSPECTION PORTE-A-PORTE  S VENTE DES OFFRES us FIBRE OPTIQUE  @e® ACCOMPAGNEMENT @@® DES CLIENTS  . Se =. \ COMMISSIONS EN MOYER! \ 2000 € À 6000 € i) CHALLENGES aun] & EVOLUTION ) FORMATION si ASSUREE  WY] ENVOYEZ VOTRE CV A:  clerc.camille@orange.fr  ®) REJOIGNEZ NOTRE ÉQUIPE GAGNANTE ! |  Q, 0745718473",pfbid0GzZMjiMYS14DsmAjycw6jHebHCq6P7YxRTUgazJo7TEeUSNea4nhAeBS35uS1kZCl,offresemploihautesavoie,,1080,1751,Kan een afbeelding zijn van ‎de tekst '‎גמ ACR MEDIA ACR MEDIA RECRUTE FIBRE OPTIQUE by Orange Secteur Terrain orange Croissance Rapide PROSPECTION PORTE-À-PORTE -PORTE VENTE DES OFFRES FIBRE OPTIQUE ACCOMPAGNEMENT DES CLIENTS COMMISSIONS EN MOYENNE 2000€À6000 6 000 € 2000 ም CHALLENGES & EVOLUTION FORMATION ASSURÉE ENVOYEZ VOTRE CV À: clerc.camille@orange.fr 0745718473 REJOIGNEZ NOTRE ÉQUIPE GAGNANTE!‎'‎,2026-07-14T17:13:39.283859
122156493987067115.jpg,122156493987067115,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/733209468_122156494083067115_7851934736038293278_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=vsm1AI-UPhoQ7kNvwG3I6B1&_nc_oc=AdptefbCDNLgT8LxcAhiSu-eaiQ3tAT_-LtvmbX5we6zEKzqlF5Ah3innhzhbPn35JM&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=Lylpkipv8ujIMMlJqVmz7A&_nc_ss=7920f&oh=00_AQBpOIC1OA19hi0TzPH2bPVLu1Kd7VLt4UWakWnWIQ5FOA&oe=6A5C485A,https://www.facebook.com/photo/?fbid=122156493987067115,killirahal@gmail.com,1,killirahal@gmail.com,"RAHAL AMROUCI Killiana  74100 Annemasse +33 7 80 23 55 96 killirahal@gmail.com  Annemasse, le 23 avril 2026  Objet : Candidature pour un apprentissage en crèche - DEAP (septembre 2026 à décembre 2027)  Madame, Monsieur,  Je vous adresse ma candidature afin d'intégrer votre crèche dans ie cadre d'un apprentissage dans le cadre de la préparation du Diplôme d'État d'Auxitiaire de Puériculture à partir de septembre 2026.  Depuis plusieurs années, je travaille auprès d'enfants à travers du baby-sitti",pfbid0zZorgR9XuMSXgzLuPRfoaxbZrwvVnR9iiNgfvvAaSMa3nFZzfVT8ao3s8k7MhqSil,offresemploihautesavoie,,1142,1617,"Kan een afbeelding zijn van de tekst 'AMROUCI Killiana Annemasse Annemasse, Candidature 2027) apprentissage en Madame, Monsieur, (septembre 2026 vous adresse de décembre candidature Diplome d'État d'intégrer crèche dans partir Depuis plusieurs expérience quotidien :organisation d'un apprentissage septembre travaille auprès d'enfants travers Irlande. cadre place permis camps vacances participer activement travailler domaine développement également pathologie fonction chaque situation. des enfants présentant besoins spécifiques (TDAH, autisme, trisomie appris observer avec attention, 'adapter ajuster Ta votre structure serait pour moi une véritable professionnelles tout formant Sérieuse, impliquée bien-étre motivée, développer mes compétences metier d'auxillaire puériculture. minvestir pleinement accueillis. retour, respectueuses. votre équipe vous prie d'agréer, contribuer l'expression mes'",2026-07-14T17:13:44.862745
1426348059539421.jpg,1426348059539421,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/730397648_1426347156206178_8029914436778758309_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=QjlNdRaHwtIQ7kNvwFODc9U&_nc_oc=Ado3uRX2WCXHuSPAzUF3pEf7_S7admwHOgjPHRd5Jlo5o_9lJ0NfexkzRxlY95XJJEE&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=Lylpkipv8ujIMMlJqVmz7A&_nc_ss=7920f&oh=00_AQDSbbdx9ilQemqbMdrrvnXqtLs0om0omiZem8Rm2Tfx0g&oe=6A5C3118,https://www.facebook.com/photo/?fbid=1426348059539421,cheznous.alaplage@gmail.com,1,cheznous.alaplage@gmail.com,35H/semaine 2 jours de congé consécutifs  Travail journée et soirée - sans coupures  NON LOGÉ  cheznous.alaplage@gmail.com,100064927207523,offresemploihautesavoie,,1080,1350,Kan een graphic zijn van de tekst 'an restaurant AIDE CUISINE & PLONGE H/F 35H/semaine 2 jours de congé consécutifs Travail journée et soirée- -sans coupures NON NONLOGÉ LOGÉ cheznous.alaplage@gmail.com',2026-07-14T17:13:48.236684
3372381922921293.jpg,3372381922921293,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/725698161_3372381926254626_592552495719010974_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=1bEAQbot1uYQ7kNvwHXC-oA&_nc_oc=Adrf03lj9eYA_7EKM623XJwXzyu66YOgpB5zcdPBWq_UhYafsPVRZA2W_W9C7NjWoUNnHcFGu0HUK-UiRazhZ4Mx&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=dypEis_JmR6tskH_XLCNeg&_nc_ss=7e20f&oh=00_AQDsZJZfBu-4GWFbm_2TeY27XA3YLNZuGqbX6BMSqF68Dw&oe=6A5C2950,https://www.facebook.com/photo/?fbid=3372381922921293,rhconsulting654@gmail.com,1,rhconsulting654@gmail.com,"RH CONSULTING  CONSEIL EN RESSOURCES HUMAINES  p>  NOS DOMAINES D’EXPERTISE  Recrutement  Administration du personnel Formation  Organisation du travail Rémunération  QVCT, la santé et la sécurité Relations sociales Communication interne Stratégie d'entreprise Diagnostic financier  NOS VALEURS  Guidées par l'empathie et l'écoute active,  nous accompagnons vos transformations avec une intégrité totale et le respect absolu de la confidentialité, pour générer un impact positif et durable sur vos éq",pfbid02kvacnsCCS4uCAjTYUjy5ezuhJzotoixgUzB1TjsMUAzNTRQUtsKdPVsW2WRHdSoxl,offresemploihautesavoie,,2000,1414,"May be an image of text that says 'RH CONSULTING Qui sommes-nous Une équipe dédiée étudiantes RH en Master basées Annecy, prêtes s'investir pleinement. RESSOURCESHUMAINES Un accompagnement septembre réguliers De long terme 2027, avec co-construire Bernadette Nisrine Expertise Élodie NOS DOMAINES D'EXPERTISE accompagnement 100% gratuit On accoTpae par des solutions cohérentes avec vos enjeux business RH Recrutement Administration du personnel Formation Organisation Wanda travail Damla POUR NOUS CONTACTER Relations: sécurité EMAIL interne Stratégie 'entreprise Diagnostic financier rthconsulting654@gmail.com NOS VALEURS Écouter avec intégrité Guidées par l'empathie l'écoute active, accompagnons transformations une intégrité totale respect absolu confidentialité, générer impact positif durable sur vos équipes votre performance. conseiller pour impacter'",2026-07-14T17:14:01.461736
122187766784592238.jpg,122187766784592238,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/721402977_122187766790592238_4275916546395138493_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=x5KDRLEJe1wQ7kNvwFzf6t8&_nc_oc=Adqgy-_1sGvtnqqqY_1Xg7wKQfswT0AUuCyB0heJmGGkJEzsatkYHvbqJPPdBTMf080&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=WkpKBNxt4NoFxrDxRuuhgw&_nc_ss=7920f&oh=00_AQAKVM5NtLoGu5m6mQADHKFz5AEdq0Bdm_fhJDm8RO41Tg&oe=6A5C3CDD,https://www.facebook.com/photo/?fbid=122187766784592238,evangedyllane@gmail.com,1,evangedyllane@gmail.com,"MADAGASCAR CR) 261386225047  à  bad | evangedyllane@gmail.com ee  (GD) Mobite arinternational  j Du fond du cœur... Juste une chance y) de prouver ma valeur. @ #  W ive} fe) Z [= ° Cc A > < o [en an  Je m'appelle Tafitasoa, j'ai 22 ans, et si je prends le temps de vous écrire, c'est parce que j'ai une flamme en moi qui ne demande qu'à être utile. Je ne cherche pas à vous impressionner avec  de grands mots ou un jargon d'entreprise ; je veux juste vous parler avec mon âme.  essentielles : le trav",pfbid0xEiU9iYKWfhbj4vs4Vq3aZ5LUzYguU9dNBR2U33u6xpP8mukPaokyunufvXLkUzGl,offresemploihautesavoie,,1024,1536,Kan een afbeelding zijn van tekst,2026-07-14T17:14:17.191747
1012387444618966.jpg,1012387444618966,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/721441210_1012387447952299_7020447291225299817_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=KHwxE47vVJoQ7kNvwHKbhta&_nc_oc=Adrh_wT_JgpetM9l-amUz1ww8fU0dwjJnYUKP7ueoanrov6zddKB8xPlJVBNN0scQgY&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=57L9PbcLtLo3ZSuSvY2olw&_nc_ss=7920f&oh=00_AQD9LDjnnYOB_riTs4tQSzz8rOjufvaXmwBdZgfpUsQQmA&oe=6A5C3DD4,https://www.facebook.com/photo/?fbid=1012387444618966,casaliviaa@gmail.com,1,casaliviaa@gmail.com,"Offre d'emploi - Gouvernant(e) de maison  Entreprise locale à taille humaine, nous recherchons une personne sérieuse et investie pour rejoindre notre équipe dans le cadre dune collaboration durable. Notre priorité : construire une relation professionnelle sur le long terme au sein d’une structure bienveillante et valorisante pour ses salariés.  Vos missions:  Vous intervenez auprès d'une clientèle exigeante avec pour objectif de créer un véritable tien de confiance, en prenant soin de leur intér",pfbid0KZXBt9p8jCW5gWWX9rNrdJSFtcfXE5TAf4GZeSXmGv88LsbyehBFXXKnem3n3ncUl,offresemploihautesavoie,,736,1104,Kan een afbeelding zijn van tekst,2026-07-14T17:14:53.438460
2033740003890064.jpg,2033740003890064,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/718538769_2033740013890063_6704962368162456741_n.jpg?stp=cp6_dst-jpg_s1080x2048_tt6&_nc_cat=109&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=uFxHr60ew5EQ7kNvwGAJy3U&_nc_oc=Adr_rjybKZd7kh_J0BmSAXFwoIV3lmlcSS1SLJAGxnyPZA8Rx12_Y_zA5OOBt2iIXHA&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=oLDNrSTx9wyGeTz8kEHUXw&_nc_ss=7920f&oh=00_AQBnKy0F6MSznHM55AIV1JuBc7TZ98NpESiEnoh8m4Cd5Q&oe=6A5C3EE1,https://www.facebook.com/photo/?fbid=2033740003890064,theo.rr.06@gmail.com,1,theo.rr.06@gmail.com,"RICHARD  Né le 02/06/2006 CONTACT  D> W% theo.rr.06@gmail.com  Q Scientrier, 74930  @m Permis B - Véhiculé  COMPETENCES  Logiciel CAO @ (Solidworks, Fusion360, Solidedge )  ingéniosité  Maîtrise du Pack Office  Rigueur ee eeo¢ Organisation @ @ @€ : LANGUES 0000: eee.  Discipline  Anglais Espagnol  PROFIL  Étudiant avec l'ambition d'obtenir une Licence Professionnelle en Conception Mécanique Assistée par Ordinateur spécialité Dessinateur Projeteur (LP CMAO DP) à l'IUT d'Annecy dans les prochaines",pfbid02Ng9u1NtJf95jWy4d3HFSNbHLfQUdNJNhsy2AfYhT4mS9PkhuppsJVR8a3rq6bvDDl,offresemploihautesavoie,,1316,1857,"Kan een afbeelding zijn van de tekst 'PROFIL Théo ROUGER-- RICHARD l'ambition d'obtenir une Licence Professionnelle Mécanique Ordinateur Dessinateur LIUT d'Annecy ÉTUDES Gabriel 09/2021 06/2024 Washington, Lycée, BAC Technologique STI2D -Mention Bien Lycée Polyvalent Angers- Obtention d'Initiation l'espace. echnique. Objectif affilié l'Aéroclub d'Angers Marcé. Obtention du Brevet aux Métiers (BIMD) Drone principes 09/2017 -06/2021 reglementation, Collège, DNB Collége Permis Mention Bien Véhiculé 01/06/2024 COMPÉTENCES Europe CAO (Solidworks, Solidedge Production Champtocé Conception chaine Ingéniosité conditionnement Production pompes. Maîtrise Elaboration recherche passive semi-enterrée. construire une 05/2021 05/2021 Eclaircissage Magasin Organisation pommiers: l'exploitation. LANGUES montage Anglais composant ordinateurs, électronique Piscine Grand observation magasin Piscinier Pommeraye- père Artisan piscines, entretien,'",2026-07-14T17:15:04.225859
122226480422334807.jpg,122226480422334807,https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/716110470_122226480428334807_5117764706569725825_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=FndFFeZvLUcQ7kNvwEsybzh&_nc_oc=AdofqIuAlcH2-CN72sl6iwAgmnO3LKboGxjszDP8HHOBUAAt8Igx0nCDuhvVp_3aiN0&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=oLDNrSTx9wyGeTz8kEHUXw&_nc_ss=7920f&oh=00_AQCizdIGTOvPvB2q6OPwXfPQkrWmOcIiASfYdNlIkJreYw&oe=6A5C5648,https://www.facebook.com/photo/?fbid=122226480422334807,windeigael74@gmail.com,1,windeigael74@gmail.com,"12:40 & $ © -  <  06 07 24 61 89 windeigael74@gmail.com 74930 Reignier Esery  Permis B - Véhiculé  ETUDES/FORMATIONS  -Formation manager rayon Carrefour 2018  -Formation HACCP  -CAP charcutier traiteur CFA GROISY 1997  CENTRES D'INTERETS  Cuisine Jardinage Bricolage pizza Sport  automobile  cv gael (6).pdf  97% 8  NX a  à  R  eee  GAEL WINDEL MARQUET  Experience  2017 - 2025 | Carrefour La Ciotat. Responsable charcuterie traiteur  + Gestion d'équipe, stocks et commandes  * Suivi du chiffre d'aff",pfbid0qXbmDcRKjQGEt6BzpBz1TBTGAg5CtmyQmgBhhhrq7MWgqPbxVt6BHj2YqHjNzTM9l,offresemploihautesavoie,,1080,2316,"Kan een afbeelding zijn van de tekst '12:40 gael (6). (6).pdf 97% GAEL WINDEL MARQUET Experience 0607246189 2017 2025| Carrefour windelgael74@gmail.co I.com Sulvid 74930 Reignie Esery Ciotat. Responsablect lecharcuterie stocks commandes chittrac d'ottaires et Animation commerciale elation clientéle Véhicule TUDES/FORMATIONS stocks upprovisionnements valau ταγρη -formationmanogar rayan Carrefour 2018 Formation HACCP -CAP charcutier Préparatian conseil traiteur traiteur CFA 201-201Cemracct 1997 Práparation dap roduits ตูร, charcutiers Gestion tocks CENTRES INTERETS Cuisine 1999-2002 Chablais Préparation Venanelo Tralteur Bonsen Jardinage produits ruiteur banquet. marioge... な！ stocks Bricolage pizza Compétences Espritd""óqulpe Packoffice Qualités Spart Arécouta Adaptabllité automobile 8 aut Empathlo Gestlon ·Autonome *Dienveillance ·Parfactionniste Flablllts 2/3'",2026-07-14T17:15:11.744328
