file,fbid,image_url,fb_url,email,all_emails_in_image,raw_text
122147115897012549.jpg,122147115897012549,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/736065684_122147115525012549_6269173801477973634_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=wQ3xYEo7au0Q7kNvwHPOkD1&_nc_oc=AdoAkPohQTwN9Z6YR4vfpGrqD2eKU5MIyzfjMHDzT5Jgcdc4sQcpJAWMO1FAIQfMkLg&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQCXOR04cXhPO1G0HegrkNw6uBgY37wZFgLYboGDGUDiPg&oe=6A496049,https://www.facebook.com/photo/?fbid=122147115897012549,,,399€  La trottinette à un prix FOU !
122147115891012549.jpg,122147115891012549,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/736065684_122147115525012549_6269173801477973634_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=wQ3xYEo7au0Q7kNvwHPOkD1&_nc_oc=AdoAkPohQTwN9Z6YR4vfpGrqD2eKU5MIyzfjMHDzT5Jgcdc4sQcpJAWMO1FAIQfMkLg&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQCXOR04cXhPO1G0HegrkNw6uBgY37wZFgLYboGDGUDiPg&oe=6A496049,https://www.facebook.com/photo/?fbid=122147115891012549,,,399€  La trottinette à un prix FOU !
3122032811317714.jpg,3122032811317714,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/735687494_3122032054651123_2723285885844509388_n.jpg?stp=dst-jpg_s1080x2048_tt6&_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=N9QiRw4szMUQ7kNvwF3Je-j&_nc_oc=AdrNpeYeuH5azb4uMVlbLXNPWQe-I2Ag3OLautYDxY6vjMGzAIc4-RI6aJ_BngV8iaA&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQA4rVhDwEbD_GV3BNt6JzmSd_XkNEtP6Srv8PTJG856bA&oe=6A495E34,https://www.facebook.com/photo/?fbid=3122032811317714,,,"Journée PRÉVENTION SANTÉ  . Parvis du de 9h à © Mouli 13h oulin des  Eveques - Agde  FR : 3 juillet 00000 026  _+  Conseils diététiques  ! ee Dépistage fragilité Ww TE, 1  Marmmobile (de 9h à 7945) vary rnd  Accés aux droits - Dépistage audit | es! à à /  Frottis  A MAMMOBILE | wl DJ su ei rase Lune Es x > l'Assurance x Are SX Ma ladie AMHDCS Agir ensemble, chacun"
3645462218962174.jpg,3645462218962174,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/733641964_3645462222295507_3197223116191462938_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=LGdhIrU577MQ7kNvwGeTAEz&_nc_oc=AdpCQumX9-iBkrD8swgESosVbsh7EeMOPAhLZFWbC9J9c3JTCqQOD5z_q-NSOaLlY_4&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQALy-OUmkppyulJjVuwFkvb3Op9aqjpMGlqixttmrB89A&oe=6A497E13,https://www.facebook.com/photo/?fbid=3645462218962174,tess.gtrd@outlook.com,tess.gtrd@outlook.com,"LE CAP D'AGDE RECRUTE  Postes à pourvoir pour la saison d'été  9 plage de la roquille  REJOIGNEZ UNE ÉQUIPE DYNAMIQUE DANS UN CADRE EXCEPTIONNEL !  PIZZAIOLO 4 HÔTESSE D'ACCUEIL ¢ v Expérience exigée sur un poste similaire v Excellente présentation et sens du service Vv Passionné, rigoureux et rapide v_ Maîtrise de l'anglais fortement appréciée v Maitrise de la gestion du feu et de la v_ Souriante, organisée et dynamique pâte v Gestion des réservations et accueil client  Ÿ Sens aiguisé du travai"
2892747474406119.jpg,2892747474406119,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/732769573_2892747477739452_808785384354717047_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=qRCM2o_6OfkQ7kNvwF_eg6_&_nc_oc=Adpg_bnzpKgFiR_6v-kacXhSmi_Y-42jbH33Bl7YJ6CkER8byDSD4WVIxa8GYQNf_IU&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQAtJJ9rhL8uigNVeJq1ax3Xm2TewO4Qz896KVq9-4bB9Q&oe=6A497AB5,https://www.facebook.com/photo/?fbid=2892747474406119,kevingoutorbe69@gmail.com,kevingoutorbe69@gmail.com,"0695201820  p=)  Kevingoutorbe69@gmail.com  9  123 rue Louis Becker LYON  Langues Français Anglais Portugais Espagnol  Lolsirs  Sport Photographie Voyage Cuisine  Kevin Gouiorbe  Disponible Immédiatement  ériences en saison  Coco Beach Moorea , Polynésie Employé polyvalent  + Service en salle et au bar  * Préparation de cocktails  * Snacking  * Entretien et mise en place de la salle  Manomano Lodge , Polynésie Employé polyvalent  © Accueil des hôtes + Service en Cuisine, location de matériel + E"
122112809379358199.jpg,122112809379358199,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/734152616_122112809397358199_2002014232552558084_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=tc4Cy0SGYqgQ7kNvwFba4X7&_nc_oc=AdrKx9KSrKIT2IQfOhHEHCDng0uDNE_v3LnpJ5iw03T6CiGZrCV73Fepjtt3_UKIk3s&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQDqR1J2uBnaZNVgbToDVzUHgKD3QWYb1xt7txuU31s57g&oe=6A49510A,https://www.facebook.com/photo/?fbid=122112809379358199,,,
122112809361358199.jpg,122112809361358199,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/732763247_122112809385358199_8392741642903980574_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=VwuaiTLvY5cQ7kNvwEpngR2&_nc_oc=AdrmeP5N-1JTeEs65TK2TRer-vAbDEdeCrGLF_LzR5GbxRcr6IIAlwi_UB7xtsyKN_I&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQBIejJhZ8je0ciXtz35c4cGGcGctor3TT5-cgtNpDwWnA&oe=6A495691,https://www.facebook.com/photo/?fbid=122112809361358199,,,
122112809331358199.jpg,122112809331358199,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/732675391_122112809337358199_6337026621076688914_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=yKBDjjzZF98Q7kNvwGVxwuo&_nc_oc=AdpNqFOstUt0bjgS5sV9OGAY0MCY9qOCgPIODHY3DC7F2U34GS2-hrPm4bWyWoiSWqk&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=aDupO46MX2Q3ppL2VsCc2A&_nc_ss=7920f&oh=00_AQBnobJ7Y064pM49FSYFC4dpP802uZ94h_eKbSUWI1qUzw&oe=6A495B73,https://www.facebook.com/photo/?fbid=122112809331358199,,,
122112809283358199.jpg,122112809283358199,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/732733417_122112809295358199_1230057394555648878_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=gWNbayiSKnEQ7kNvwFikQqU&_nc_oc=AdrMjhIF48pm2V-uW0fLkHxug4HDefuXexVW3TOe0oJD7cuB6kPnggUJbGD0CmRjF1M&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=Px-6AfI-Y7wJYfXYOSbSTQ&_nc_ss=7920f&oh=00_AQCfn8FEBRxVeNrnMjQo5M3n0vfZJFUk_Py-G3p5t6EIfg&oe=6A497E99,https://www.facebook.com/photo/?fbid=122112809283358199,,,
122112809247358199.jpg,122112809247358199,https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/732985140_122112809253358199_9131283543336167447_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=cpfh_I6xJVwQ7kNvwEGivn0&_nc_oc=Adp7Hn6AIhzoasbe2MsdUAWmQAfQPFG-4CGmN6_zU6RJyZT3qQ-18w_ab_QmWDJkTaU&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=Px-6AfI-Y7wJYfXYOSbSTQ&_nc_ss=7920f&oh=00_AQAd2-KDSTcnzLIzYDA5IES6lSCIF-zJcuMgb1tLsogaHg&oe=6A497068,https://www.facebook.com/photo/?fbid=122112809247358199,,,
